التاريخ,الزمن,المحافظة,المدينة,نوع المدينة,الطريق,مستوى الزحام (%),وقت التأخير (دقائق لـ10 كم),السرعة المتوسطة (كم/س),ساعة ذروة,حالة الطريق
2025-01-18,08:20,Cairo,Gesr El Suez,صناعية,15th of May Bridge,60,21.4,32.8,نعم,مبلل
2023-09-27,18:13,Dakahlia,Mansoura,حضرية,Bilqas Coastal Road,67,29.1,25.3,نعم,جاف
2025-06-28,23:53,Giza,Imbaba,حضرية,El-Lebbini St.,61,19.6,27.0,لا,تحت الصيانة
2024-01-06,19:31,Cairo,Downtown,حضرية,Corniche El Nil,55,34.8,26.1,نعم,جاف
2024-11-17,15:16,Giza,Imbaba,حضرية,Giza Square,37,28.4,21.1,نعم,جاف
2023-08-25,22:20,Cairo,Zeitoun,حضرية,Autostrad Road,59,18.0,22.7,لا,مبلل
2025-03-15,07:29,Giza,Faisal,حضرية,El-Lebbini St.,68,30.36,23.9,نعم,جاف
2024-10-03,17:04,Cairo,Zeitoun,حضرية,Al Mehwar Al Markazy,26,32.3,29.5,نعم,جاف
2023-06-06,16:17,Qalyubia,Khanka,ريفية,Shubra-Banha Road,36,17.2,32.9,نعم,جاف
2022-11-24,02:51,Giza,Sheikh Zayed City,حضرية,Ring Road (Giza Section),30,17.0,17.1,لا,مبلل
2022-11-24,16:54,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,36,38.5,17.8,نعم,مبلل
2023-12-26,12:00,Alexandria,Roushdy,حضرية,Abu Qir Road,72,15.5,15.9,نعم,جاف
2023-10-25,15:39,Cairo,Gesr El Suez,صناعية,6th October Bridge,42,26.7,33.4,نعم,جاف
2022-07-01,08:33,Alexandria,Glim,حضرية,Kafr Abdou St.,76,29.2,17.1,نعم,جاف
2025-06-03,00:32,Giza,Imbaba,حضرية,Saqqara Road,63,17.3,19.9,لا,جاف
2022-04-02,13:06,Giza,Imbaba,حضرية,El Bahr El Aazam St.,65,21.12,26.1,لا,جاف
2025-09-15,12:54,Cairo,Maadi,حضرية,Ring Road,23,19.7,22.6,نعم,جاف
2024-11-11,16:46,Cairo,Gesr El Suez,صناعية,6th October Bridge,11,27.6,34.4,نعم,جاف
2023-10-18,19:14,Giza,Dokki,حضرية,El Bahr El Aazam St.,27,34.6,25.5,نعم,جاف
2025-03-18,09:27,Cairo,Gesr El Suez,صناعية,Corniche El Nil,56,28.32,30.0,نعم,مبلل
2022-10-13,22:14,Giza,Agouza,حضرية,Faisal Road,15,15.2,26.1,لا,جاف
2024-02-28,02:51,Alexandria,Sidi Gaber,حضرية,Stanley Bridge,75,17.0,17.0,لا,جاف
2025-05-17,00:07,Beheira,Rashid,ريفية,Damanhour-Rashid Road,35,12.4,39.4,لا,جاف
2025-07-05,15:02,Giza,Imbaba,حضرية,Faisal Road,17,33.9,28.8,نعم,جاف
2023-10-16,23:13,Giza,Imbaba,حضرية,Ring Road (Giza Section),22,19.3,15.1,لا,تحت الصيانة
2024-12-05,22:32,Giza,Haram,حضرية,Pyramids Road,32,16.5,22.5,لا,جاف
2025-07-18,05:34,Giza,Dokki,حضرية,Pyramids Road,66,15.4,21.9,لا,مبلل
2024-07-22,09:06,Giza,Dokki,حضرية,26th of July Corridor,76,25.1,16.8,نعم,مبلل
2023-04-30,09:46,Cairo,Heliopolis,حضرية,Al Fangari Bridge,64,28.0,21.3,نعم,جاف
2025-05-28,16:03,Giza,Sheikh Zayed City,حضرية,Giza Square,72,34.7,25.4,نعم,جاف
2023-09-28,19:58,Cairo,Nasr City,حضرية,Ring Road,70,39.1,21.4,نعم,جاف
2025-02-27,08:28,Cairo,Downtown,حضرية,Ring Road,17,25.1,20.2,نعم,جاف
2023-08-13,20:21,Giza,Haram,حضرية,Saqqara Road,46,16.5,24.2,لا,مبلل
2023-07-16,18:32,Giza,Sheikh Zayed City,حضرية,26th of July Corridor,65,35.6,16.9,نعم,جاف
2022-06-21,01:21,Cairo,Zeitoun,حضرية,Salah Salem St.,21,15.3,21.2,لا,جاف
2023-03-28,09:30,Alexandria,Miami,حضرية,Corniche Road,62,35.64,26.6,نعم,جاف
2022-10-08,07:13,Giza,Haram,حضرية,Saqqara Road,74,25.3,29.9,نعم,جاف
2025-01-03,12:54,Qalyubia,Shibin El Qanater,ريفية,Agricultural Road,37,9.8,40.2,نعم,جاف
2024-11-22,12:05,Cairo,Gesr El Suez,صناعية,6th October Bridge,57,13.3,21.1,نعم,جاف
2024-06-22,03:40,Cairo,Shubra,حضرية,Salah Salem St.,60,15.8,21.3,لا,جاف
2024-06-12,16:26,Cairo,Maadi,حضرية,Suez Road,59,28.8,27.7,نعم,جاف
2024-04-29,16:59,Giza,Dokki,حضرية,Giza Square,75,35.6,19.6,نعم,جاف
2022-10-20,15:41,Cairo,Zeitoun,حضرية,Ring Road,79,30.9,25.4,نعم,جاف
2023-11-30,15:46,Cairo,Zamalek,حضرية,Al Mehwar Al Markazy,56,37.3,23.5,نعم,جاف
2024-05-15,09:13,Cairo,Maadi,حضرية,Al Fangari Bridge,58,22.8,20.7,نعم,جاف
2023-01-18,07:31,Alexandria,Glim,حضرية,Stanley Bridge,38,28.3,22.2,نعم,جاف
2022-05-31,13:21,Giza,Imbaba,حضرية,Giza Square,46,17.9,21.3,لا,مبلل
2023-12-14,06:26,Cairo,Nasr City,حضرية,Corniche El Nil,30,19.3,18.4,لا,جاف
2022-06-23,13:39,Giza,Sheikh Zayed City,حضرية,El-Lebbini St.,72,18.1,17.4,لا,جاف
2022-09-17,12:35,Giza,Dokki,حضرية,El Mansoureya Road,60,15.5,20.7,نعم,جاف
2022-12-05,09:12,Giza,Dokki,حضرية,Giza Square,37,24.4,16.2,نعم,جاف
2023-07-09,06:27,Cairo,Zeitoun,حضرية,Al Mehwar Al Markazy,55,18.3,20.1,لا,جاف
2023-11-30,16:20,Giza,Sheikh Zayed City,حضرية,Pyramids Road,76,30.5,25.8,نعم,مبلل
2024-05-27,10:20,Giza,Haram,حضرية,Alexandria Desert Road,58,15.5,23.3,لا,جاف
2024-05-28,23:23,Cairo,Downtown,حضرية,Salah Salem St.,31,15.4,17.3,لا,جاف
2024-03-18,17:47,Alexandria,Montazah,حضرية,Stanley Bridge,66,41.16,22.7,نعم,مبلل
2024-04-08,19:18,Alexandria,Sidi Gaber,حضرية,Stanley Bridge,59,43.92,20.2,نعم,تحت الصيانة
2024-05-08,16:08,Cairo,Zamalek,حضرية,Al Fangari Bridge,49,33.9,15.2,نعم,جاف
2024-03-22,18:43,Giza,Agouza,حضرية,Faisal Road,56,42.6,25.2,نعم,جاف
2022-06-14,20:42,Qalyubia,Banha,حضرية,Obour Access Road,80,17.1,25.3,لا,مبلل
2023-09-14,15:09,Cairo,Maadi,حضرية,6th October Bridge,53,30.7,20.3,نعم,مبلل
2022-04-19,12:52,Giza,Dokki,حضرية,Alexandria Desert Road,60,19.679999999999996,28.0,نعم,تحت الصيانة
2025-04-19,01:38,Giza,Faisal,حضرية,Ring Road (Giza Section),48,19.9,24.5,لا,جاف
2022-09-20,11:10,Giza,6th October City,حضرية,Ring Road (Giza Section),48,17.6,24.1,لا,تحت الصيانة
2022-06-27,18:33,Giza,Imbaba,حضرية,Faisal Road,65,30.9,29.9,نعم,جاف
2022-12-03,15:44,Cairo,Maadi,حضرية,Suez Road,71,32.3,19.9,نعم,جاف
2023-04-05,19:30,Giza,Agouza,حضرية,26th of July Corridor,59,44.879999999999995,25.6,نعم,مبلل
2024-05-25,09:00,Giza,Faisal,حضرية,Ring Road (Giza Section),78,26.9,15.8,نعم,مبلل
2022-11-21,19:21,Cairo,Nasr City,حضرية,Nasr Road,69,39.6,29.9,نعم,مبلل
2025-05-15,20:55,Cairo,Zeitoun,حضرية,Ramses St.,65,18.0,25.3,لا,جاف
2022-10-06,17:54,Cairo,Heliopolis,حضرية,15th of May Bridge,17,38.3,23.8,نعم,جاف
2023-04-30,06:59,Giza,Imbaba,حضرية,Ring Road (Giza Section),22,19.0,28.8,لا,مبلل
2023-09-19,11:27,Qalyubia,Qalyub,صناعية,Banha Bypass,22,13.6,21.3,لا,مبلل
2022-10-09,16:05,Cairo,Gesr El Suez,صناعية,Corniche El Nil,50,26.6,28.6,نعم,جاف
2025-05-06,17:27,Cairo,Zamalek,حضرية,Salah Salem St.,38,33.8,23.1,نعم,تحت الصيانة
2024-12-09,21:53,Giza,Imbaba,حضرية,Saqqara Road,71,15.3,28.1,لا,جاف
2024-02-23,20:49,Port Said,Dawahi,حضرية,Saad Zaghloul St.,57,19.4,27.3,لا,جاف
2022-10-20,09:31,Cairo,Maadi,حضرية,15th of May Bridge,46,27.1,19.6,نعم,مبلل
2025-02-22,08:23,Giza,Imbaba,حضرية,Giza Square,40,23.7,21.0,نعم,جاف
2025-01-31,12:34,Giza,Sheikh Zayed City,حضرية,El Bahr El Aazam St.,73,16.7,20.1,نعم,جاف
2023-07-20,22:26,Cairo,Maadi,حضرية,Nasr Road,58,19.7,22.6,لا,مبلل
2023-04-18,09:06,Giza,Faisal,حضرية,El-Lebbini St.,65,30.24,15.8,نعم,جاف
2022-08-07,06:22,Cairo,Gesr El Suez,صناعية,6th October Bridge,21,16.1,25.6,لا,جاف
2022-10-03,08:08,Giza,Sheikh Zayed City,حضرية,Faisal Road,71,29.8,25.5,نعم,تحت الصيانة
2024-03-23,18:14,Giza,Dokki,حضرية,Alexandria Desert Road,61,43.68,16.3,نعم,جاف
2025-04-19,07:15,Giza,Haram,حضرية,Saqqara Road,18,25.3,24.1,نعم,جاف
2024-12-30,12:07,Cairo,Downtown,حضرية,Autostrad Road,42,17.1,28.1,نعم,جاف
2022-10-07,23:09,Minya,Mallawi,ريفية,Minya-Cairo Road,33,10.1,25.2,لا,جاف
2024-03-26,16:34,Giza,Imbaba,حضرية,26th of July Corridor,66,38.16,19.2,نعم,تحت الصيانة
2024-01-27,01:58,Cairo,Zeitoun,حضرية,Ramses St.,42,16.9,27.4,لا,تحت الصيانة
2023-12-27,00:51,Luxor,Armant,ريفية,Esna Main Road,36,11.1,39.8,لا,مبلل
2024-07-05,12:46,Giza,Agouza,حضرية,Alexandria Desert Road,56,18.5,25.0,نعم,جاف
2022-03-18,04:14,Giza,Agouza,حضرية,Alexandria Desert Road,58,17.9,28.7,لا,مبلل
2024-02-13,19:47,Giza,Dokki,حضرية,Faisal Road,64,37.3,25.7,نعم,جاف
2023-05-04,02:38,Alexandria,Miami,حضرية,Kafr Abdou St.,30,19.5,27.4,لا,جاف
2024-11-04,18:00,Cairo,Maadi,حضرية,Ramses St.,77,35.8,25.1,نعم,جاف
2024-05-06,23:27,Cairo,Zamalek,حضرية,Corniche El Nil,43,17.7,26.8,لا,جاف
2023-11-11,07:19,Cairo,Nasr City,حضرية,Ring Road,58,28.6,28.5,نعم,جاف
2023-07-03,03:12,Cairo,Zamalek,حضرية,Al Azhar St.,29,15.6,27.2,لا,مبلل
2022-12-06,19:23,Cairo,Downtown,حضرية,Al Mehwar Al Markazy,56,39.3,21.4,نعم,جاف
2022-05-18,20:02,Giza,Dokki,حضرية,El Mansoureya Road,46,15.3,26.3,لا,جاف
2022-01-05,22:32,Alexandria,Stanley,حضرية,Corniche Road,64,17.3,15.0,لا,جاف
2024-06-14,04:52,Giza,Haram,حضرية,26th of July Corridor,74,16.5,18.9,لا,مبلل
2023-08-14,08:03,Minya,Samalut,ريفية,Minya-Cairo Road,20,14.5,40.9,نعم,جاف
2024-03-03,17:14,Giza,Sheikh Zayed City,حضرية,Faisal Road,68,38.1,18.6,نعم,جاف
2023-10-18,08:53,Alexandria,Stanley,حضرية,Gamal Abdel Nasser St.,38,28.7,20.7,نعم,جاف
2024-09-16,08:06,Cairo,Gesr El Suez,صناعية,Ring Road,26,24.1,34.1,نعم,جاف
2022-07-21,21:42,Alexandria,Stanley,حضرية,Gamal Abdel Nasser St.,16,18.3,15.1,لا,مبلل
2023-02-26,07:57,Alexandria,Smouha,حضرية,Abu Qir Road,17,27.7,29.6,نعم,مبلل
2024-04-30,03:11,Alexandria,San Stefano,حضرية,Desert Road,66,19.1,22.2,لا,جاف
2023-06-10,01:24,Giza,Faisal,حضرية,26th of July Corridor,16,16.5,26.6,لا,جاف
2024-09-11,22:22,Cairo,Heliopolis,حضرية,Autostrad Road,25,17.7,26.2,لا,جاف
2023-06-24,21:11,Cairo,Nasr City,حضرية,Al Fangari Bridge,79,19.6,28.1,لا,جاف
2023-07-11,17:00,Alexandria,Glim,حضرية,Desert Road,46,35.3,24.4,نعم,جاف
2024-07-03,01:48,Alexandria,Sidi Gaber,حضرية,Abu Qir Road,69,17.8,23.0,لا,جاف
2022-01-01,08:40,Cairo,Maadi,حضرية,Suez Road,40,24.7,24.5,نعم,جاف
2023-09-20,07:01,Giza,Faisal,حضرية,Faisal Road,51,26.6,17.9,نعم,تحت الصيانة
2023-01-19,09:06,Giza,Imbaba,حضرية,Pyramids Road,77,23.1,24.2,نعم,جاف
2023-05-07,17:50,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,79,34.6,21.1,نعم,مبلل
2022-02-25,06:20,Giza,Dokki,حضرية,Pyramids Road,58,15.7,15.1,لا,جاف
2023-03-06,08:11,Giza,Faisal,حضرية,Ring Road (Giza Section),57,25.1,22.5,نعم,جاف
2025-04-02,19:04,Cairo,Maadi,حضرية,Ramses St.,74,37.3,19.6,نعم,تحت الصيانة
2022-05-04,07:28,Cairo,Downtown,حضرية,Suez Road,79,33.36,16.3,نعم,جاف
2024-08-12,11:21,Alexandria,Montazah,حضرية,Gamal Abdel Nasser St.,53,18.2,15.8,لا,جاف
2024-11-15,12:41,Giza,Dokki,حضرية,El Bahr El Aazam St.,57,18.4,21.5,نعم,جاف
2023-03-25,19:45,Cairo,Zeitoun,حضرية,Nasr Road,70,44.879999999999995,17.3,نعم,جاف
2022-02-10,16:51,Cairo,Nasr City,حضرية,15th of May Bridge,79,28.1,26.4,نعم,جاف
2022-07-24,23:42,Qalyubia,Toukh,ريفية,Shubra-Banha Road,15,9.8,25.5,لا,مبلل
2022-12-15,07:18,Qalyubia,Shibin El Qanater,ريفية,Agricultural Road,40,15.5,27.8,نعم,جاف
2023-11-27,03:07,Cairo,Nasr City,حضرية,Nasr Road,49,16.1,21.9,لا,جاف
2024-06-27,09:30,Qalyubia,Toukh,ريفية,Obour Access Road,25,14.7,26.4,نعم,جاف
2023-04-21,15:36,Alexandria,Sidi Gaber,حضرية,Desert Road,69,35.76,15.3,نعم,جاف
2024-02-08,19:54,Cairo,Zeitoun,حضرية,Al Fangari Bridge,69,32.9,20.1,نعم,تحت الصيانة
2022-09-02,12:49,Alexandria,San Stefano,حضرية,Miami Beach Road,61,15.1,26.0,نعم,مبلل
2024-04-02,16:23,Cairo,Maadi,حضرية,6th October Bridge,67,36.839999999999996,23.1,نعم,جاف
2022-11-09,09:29,Cairo,Downtown,حضرية,Al Azhar St.,55,25.8,22.6,نعم,جاف
2025-08-14,09:24,Giza,Agouza,حضرية,Pyramids Road,70,22.8,26.1,نعم,جاف
2022-01-05,17:05,Qalyubia,Qalyub,صناعية,Banha Bypass,54,23.7,32.0,نعم,جاف
2023-07-03,15:17,Alexandria,Smouha,حضرية,Miami Beach Road,59,37.4,29.5,نعم,جاف
2023-10-29,16:54,Qalyubia,Khanka,ريفية,Banha Bypass,5,15.5,36.3,نعم,جاف
2022-07-16,07:27,Qalyubia,Banha,حضرية,Banha Bypass,70,29.0,16.9,نعم,جاف
2022-09-04,10:46,Cairo,Gesr El Suez,صناعية,6th October Bridge,10,13.6,23.2,لا,جاف
2024-05-10,12:04,Dakahlia,Bilqas,ريفية,Gamaleya Road,28,11.4,36.5,نعم,جاف
2024-10-13,01:07,Cairo,Zeitoun,حضرية,Nasr Road,27,19.4,19.6,لا,تحت الصيانة
2024-04-18,21:56,Cairo,Maadi,حضرية,Ring Road,34,17.5,18.9,لا,مبلل
2025-01-08,18:32,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,10,25.1,25.7,نعم,جاف
2024-10-14,08:13,Giza,Dokki,حضرية,Alexandria Desert Road,26,29.8,28.8,نعم,جاف
2022-12-20,16:06,Alexandria,Miami,حضرية,Gamal Abdel Nasser St.,46,30.9,20.6,نعم,جاف
2023-09-26,11:56,Giza,Imbaba,حضرية,Alexandria Desert Road,29,15.2,21.1,لا,تحت الصيانة
2024-05-30,18:33,Cairo,Gesr El Suez,صناعية,Corniche El Nil,52,24.5,23.3,نعم,تحت الصيانة
2024-10-06,07:27,Giza,Dokki,حضرية,El Bahr El Aazam St.,62,28.6,17.5,نعم,جاف
2023-01-13,12:43,Giza,Imbaba,حضرية,Saqqara Road,59,19.1,25.7,نعم,جاف
2023-11-07,00:41,Giza,Sheikh Zayed City,حضرية,Giza Square,34,17.8,15.2,لا,جاف
2025-07-08,01:16,Giza,Agouza,حضرية,Saqqara Road,39,19.8,15.1,لا,جاف
2022-04-18,09:54,Cairo,Heliopolis,حضرية,Ring Road,77,30.96,29.6,نعم,جاف
2023-07-11,12:24,Alexandria,Smouha,حضرية,Stanley Bridge,62,17.3,20.3,نعم,جاف
2023-12-14,06:06,Alexandria,Glim,حضرية,Stanley Bridge,65,18.6,24.0,لا,مبلل
2022-03-17,18:53,Cairo,Nasr City,حضرية,Suez Road,39,29.7,26.9,نعم,تحت الصيانة
2023-04-04,16:43,Cairo,Maadi,حضرية,6th October Bridge,61,34.8,20.9,نعم,مبلل
2023-01-23,22:33,Cairo,Downtown,حضرية,Ramses St.,53,16.0,28.5,لا,جاف
2024-05-28,02:05,Cairo,Zamalek,حضرية,Ramses St.,62,15.9,23.5,لا,جاف
2023-12-21,17:07,Cairo,Shubra,حضرية,6th October Bridge,33,37.8,27.6,نعم,جاف
2024-03-29,12:09,Cairo,Downtown,حضرية,15th of May Bridge,66,23.4,27.0,نعم,جاف
2025-05-18,17:38,Qalyubia,Khanka,ريفية,Agricultural Road,16,21.4,29.9,نعم,جاف
2025-04-09,23:13,Alexandria,San Stefano,حضرية,Abu Qir Road,42,15.6,17.5,لا,جاف
2025-09-14,23:25,Cairo,Shubra,حضرية,Ramses St.,23,16.8,24.8,لا,مبلل
2025-01-30,17:29,Monufia,Quesna,صناعية,Berket El Sabaa Road,54,26.1,25.9,نعم,مبلل
2023-01-05,23:10,Giza,Agouza,حضرية,El Mansoureya Road,18,19.2,27.1,لا,جاف
2022-11-18,07:03,Cairo,Heliopolis,حضرية,6th October Bridge,59,22.5,19.4,نعم,جاف
2023-11-07,02:53,Giza,Agouza,حضرية,Saqqara Road,42,19.8,21.4,لا,جاف
2022-07-27,19:01,Cairo,Heliopolis,حضرية,Ramses St.,16,28.3,23.3,نعم,جاف
2024-12-16,03:04,Qalyubia,Banha,حضرية,Banha Bypass,52,15.1,24.6,لا,جاف
2023-08-24,20:58,Cairo,Downtown,حضرية,Ramses St.,39,20.0,21.2,لا,جاف
2022-06-08,09:38,Giza,6th October City,حضرية,El Bahr El Aazam St.,25,27.1,23.0,نعم,مبلل
2024-08-25,09:15,Alexandria,Sidi Gaber,حضرية,El-Montazah Bridge,44,29.6,25.5,نعم,جاف
2023-05-17,19:54,Cairo,Gesr El Suez,صناعية,Al Fangari Bridge,59,25.0,27.2,نعم,جاف
2025-02-06,17:35,Giza,Haram,حضرية,Saqqara Road,45,38.9,15.8,نعم,جاف
2024-02-17,05:49,Giza,Agouza,حضرية,26th of July Corridor,61,17.9,20.5,لا,تحت الصيانة
2022-10-20,11:09,Alexandria,Montazah,حضرية,Kafr Abdou St.,48,19.3,27.6,لا,جاف
2024-03-11,05:57,Giza,Imbaba,حضرية,Alexandria Desert Road,69,22.08,28.6,لا,جاف
2022-02-12,07:05,Giza,Sheikh Zayed City,حضرية,Ring Road (Giza Section),53,27.3,20.7,نعم,جاف
2022-06-23,21:29,Cairo,Zamalek,حضرية,Autostrad Road,43,16.4,23.1,لا,مبلل
2023-04-17,21:44,Cairo,Shubra,حضرية,Nasr Road,60,22.32,19.6,لا,جاف
2023-03-04,18:27,Sohag,Maragha,ريفية,Sohag-Cairo Highway,19,16.5,30.2,نعم,جاف
2022-12-26,19:11,Giza,6th October City,حضرية,Alexandria Desert Road,64,39.3,29.2,نعم,جاف
2024-07-05,07:45,Alexandria,San Stefano,حضرية,Desert Road,72,25.0,17.9,نعم,جاف
2024-03-30,08:33,Dakahlia,Bilqas,ريفية,Gamaleya Road,36,14.52,37.3,نعم,جاف
2024-04-26,05:09,Giza,Agouza,حضرية,Saqqara Road,73,15.0,29.3,لا,جاف
2022-03-18,09:51,Cairo,Maadi,حضرية,Salah Salem St.,73,22.5,26.9,نعم,جاف
2022-02-10,07:41,Alexandria,Glim,حضرية,Desert Road,19,24.7,28.8,نعم,جاف
2025-07-03,07:40,Alexandria,Smouha,حضرية,Miami Beach Road,37,30.0,21.3,نعم,جاف
2022-12-07,21:35,Qalyubia,Toukh,ريفية,Cairo-Ismailia Road,39,11.6,43.2,لا,جاف
2024-06-08,18:38,Cairo,Downtown,حضرية,Ramses St.,56,34.2,25.2,نعم,جاف
2023-07-21,12:16,Giza,Faisal,حضرية,Faisal Road,79,18.5,26.1,نعم,جاف
2023-10-09,19:27,Cairo,Maadi,حضرية,Nasr Road,47,36.5,25.7,نعم,مبلل
2022-01-07,17:13,Cairo,Zamalek,حضرية,Nasr Road,80,29.9,19.4,نعم,جاف
2024-02-24,10:56,Giza,Agouza,حضرية,26th of July Corridor,26,15.5,17.5,لا,جاف
2022-05-19,05:37,Giza,Agouza,حضرية,Giza Square,62,15.8,25.6,لا,مبلل
2023-07-06,16:45,Giza,Sheikh Zayed City,حضرية,El Mansoureya Road,75,32.7,27.5,نعم,مبلل
2023-01-29,16:56,Giza,Sheikh Zayed City,حضرية,Faisal Road,66,37.7,23.4,نعم,جاف
2024-05-14,12:33,Alexandria,Glim,حضرية,Gamal Abdel Nasser St.,20,18.5,24.0,نعم,مبلل
2024-10-25,18:54,Alexandria,San Stefano,حضرية,Corniche Road,65,38.8,29.8,نعم,جاف
2023-01-14,07:25,Giza,6th October City,حضرية,El Mansoureya Road,77,22.5,27.6,نعم,جاف
2023-01-15,09:24,Cairo,Zamalek,حضرية,Ramses St.,69,23.1,17.3,نعم,مبلل
2024-02-04,16:56,Cairo,Shubra,حضرية,Ring Road,30,35.3,23.6,نعم,جاف
2025-05-24,03:42,Giza,6th October City,حضرية,Pyramids Road,70,19.9,24.0,لا,جاف
2022-04-18,17:59,Cairo,Maadi,حضرية,Al Fangari Bridge,67,44.04,24.4,نعم,جاف
2022-09-30,01:33,Giza,Faisal,حضرية,Giza Square,74,15.0,24.8,لا,جاف
2022-04-17,17:58,Cairo,Maadi,حضرية,Suez Road,64,43.08,23.2,نعم,مبلل
2023-04-29,08:48,Cairo,Downtown,حضرية,6th October Bridge,33,24.3,25.0,نعم,جاف
2022-05-12,15:40,Giza,6th October City,حضرية,Alexandria Desert Road,27,39.5,29.9,نعم,جاف
2024-03-11,07:49,Alexandria,Roushdy,حضرية,Miami Beach Road,75,33.0,18.6,نعم,جاف
2024-05-24,15:27,Alexandria,Stanley,حضرية,Kafr Abdou St.,69,37.7,26.8,نعم,جاف
2024-10-26,11:03,Alexandria,San Stefano,حضرية,Miami Beach Road,30,15.5,27.1,لا,جاف
2023-02-27,15:41,Cairo,Downtown,حضرية,Salah Salem St.,36,33.9,15.5,نعم,مبلل
2024-06-08,01:02,Giza,Agouza,حضرية,Ring Road (Giza Section),80,16.7,22.0,لا,جاف
2024-01-15,08:58,Giza,Faisal,حضرية,Alexandria Desert Road,55,28.0,16.6,نعم,تحت الصيانة
2024-10-08,19:09,Cairo,Nasr City,حضرية,Ramses St.,52,37.0,23.3,نعم,جاف
2024-01-06,19:23,Cairo,Heliopolis,حضرية,Salah Salem St.,64,31.7,28.9,نعم,جاف
2025-04-11,08:50,Giza,6th October City,حضرية,El Mansoureya Road,71,28.3,24.2,نعم,جاف
2024-02-14,15:52,Dakahlia,Dikirnis,ريفية,Mansoura-Talkha Road,18,21.9,38.5,نعم,جاف
2025-05-24,09:30,Giza,Sheikh Zayed City,حضرية,El Mansoureya Road,58,22.7,22.3,نعم,جاف
2022-01-19,18:39,Aswan,Edfu,ريفية,Aswan-Cairo Highway,5,17.7,30.9,نعم,جاف
2025-03-17,16:44,Alexandria,Sidi Gaber,حضرية,Sidi Gaber Road,68,36.48,23.7,نعم,جاف
2022-07-16,20:13,Cairo,Zeitoun,حضرية,Salah Salem St.,34,17.4,22.7,لا,جاف
2025-05-31,16:53,Giza,Dokki,حضرية,El Bahr El Aazam St.,43,33.4,19.5,نعم,جاف
2023-10-17,12:55,Alexandria,Smouha,حضرية,El-Montazah Bridge,38,19.5,20.2,نعم,مبلل
2023-04-21,15:26,Qalyubia,Shibin El Qanater,ريفية,Obour Access Road,32,25.439999999999998,27.5,نعم,جاف
2023-07-25,17:47,Cairo,Zeitoun,حضرية,Al Fangari Bridge,63,28.8,28.2,نعم,جاف
2024-03-12,19:07,Cairo,Heliopolis,حضرية,Autostrad Road,70,44.64,16.8,نعم,تحت الصيانة
2025-04-26,04:06,Cairo,Downtown,حضرية,Al Fangari Bridge,42,15.8,20.6,لا,مبلل
2023-01-19,00:26,Alexandria,Stanley,حضرية,Sidi Gaber Road,36,16.4,17.5,لا,جاف
2023-11-19,06:47,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,38,16.5,28.0,لا,جاف
2024-03-08,06:19,Cairo,Heliopolis,حضرية,Salah Salem St.,62,19.8,20.2,لا,جاف
2023-11-07,05:24,Cairo,Gesr El Suez,صناعية,Ring Road,41,16.6,22.5,لا,جاف
2024-06-04,09:16,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,29,23.9,29.2,نعم,جاف
2023-07-07,12:22,Cairo,Downtown,حضرية,6th October Bridge,72,18.9,19.1,نعم,جاف
2025-07-08,18:33,Giza,Imbaba,حضرية,El Bahr El Aazam St.,48,35.6,19.2,نعم,جاف
2024-09-14,00:43,Giza,Sheikh Zayed City,حضرية,El Bahr El Aazam St.,40,15.5,22.4,لا,جاف
2022-04-12,12:57,Alexandria,Sidi Gaber,حضرية,Kafr Abdou St.,72,21.12,16.0,نعم,مبلل
2022-05-01,07:24,Alexandria,Roushdy,حضرية,El-Horreya Ave,64,35.279999999999994,26.8,نعم,جاف
2022-04-28,16:07,Cairo,Downtown,حضرية,Al Fangari Bridge,56,33.72,29.4,نعم,تحت الصيانة
2023-07-03,03:39,Giza,Dokki,حضرية,El-Lebbini St.,40,16.5,18.5,لا,جاف
2024-11-02,14:43,Alexandria,San Stefano,حضرية,Abu Qir Road,59,19.5,28.1,لا,جاف
2025-05-02,12:06,Giza,Dokki,حضرية,Saqqara Road,76,19.5,19.9,نعم,جاف
2022-09-05,18:28,Cairo,Gesr El Suez,صناعية,Corniche El Nil,41,25.3,28.6,نعم,جاف
2024-08-02,03:01,Alexandria,Sidi Gaber,حضرية,Sidi Gaber Road,70,15.9,15.4,لا,جاف
2025-07-15,18:56,Cairo,Maadi,حضرية,Salah Salem St.,21,30.4,22.7,نعم,جاف
2024-12-26,09:02,Cairo,Maadi,حضرية,15th of May Bridge,62,22.1,20.3,نعم,مبلل
2024-12-22,07:16,Giza,Agouza,حضرية,El-Lebbini St.,36,28.2,28.3,نعم,تحت الصيانة
2025-01-23,20:11,Cairo,Maadi,حضرية,Nasr Road,36,17.9,18.9,لا,جاف
2024-12-29,15:23,Cairo,Zamalek,حضرية,Al Mehwar Al Markazy,64,39.7,20.0,نعم,جاف
2025-09-14,19:53,Giza,6th October City,حضرية,El Mansoureya Road,16,37.0,28.4,نعم,جاف
2024-02-27,12:32,Cairo,Downtown,حضرية,Ramses St.,34,16.9,17.5,نعم,جاف
