نوع الحادث,زمن الحادث,تاريخ الحادث,محافظة الحادث,مدينة الحادث,زمن الانقاذ و حل المشكله
تصادم مع حيوان,17:33,2024-12-13,Sharqia,Kafr Saqr,233 دقيقة
تصادم مع حيوان,07:59,2023-05-04,Dakahlia,Bilqas,39 دقيقة
ازدحام مروري,01:05,2022-09-24,Beheira,Kafr El Dawar,212 دقيقة
حريق في السيارة,16:21,2024-03-04,Assiut,Manfalout,21 دقيقة
دهس مشاة,17:32,2022-10-24,Minya,Samalut,231 دقيقة
سقوط من ارتفاع,10:09,2024-02-05,Alexandria,Miami,198 دقيقة
انقلاب مركبة,01:43,2024-12-22,Assiut,Assiut First,211 دقيقة
ازدحام مروري,07:09,2023-01-10,Port Said,Arab,114 دقيقة
دهس مشاة,09:12,2023-06-11,Cairo,Gesr El Suez,64 دقيقة
تصادم سيارات,16:50,2024-12-08,Giza,Dokki,52 دقيقة
تصادم مع حيوان,08:45,2024-01-10,Assiut,Qusiya,222 دقيقة
غرق مركبة,17:22,2023-10-26,Alexandria,Glim,168 دقيقة
حادث دراجة نارية,07:51,2023-09-09,Beheira,Edku,143 دقيقة
تصادم مع حيوان,19:52,2023-10-30,Minya,Beni Mazar,28 دقيقة
حادث دراجة نارية,19:44,2022-05-05,Qalyubia,Shibin El Qanater,197 دقيقة
حادث دراجة نارية,20:55,2023-09-17,Alexandria,Miami,198 دقيقة
تصادم مع حيوان,18:50,2022-05-08,Monufia,Bagour,187 دقيقة
سقوط من ارتفاع,16:23,2022-09-01,Qalyubia,Qalyub,190 دقيقة
ازدحام مروري,11:07,2022-01-02,Sohag,Girga,231 دقيقة
عطل فني,18:36,2022-05-30,Minya,Samalut,193 دقيقة
حريق في السيارة,09:29,2022-04-04,Alexandria,Smouha,162 دقيقة
حريق في السيارة,14:42,2023-01-18,Sharqia,Minya Al Qamh,105 دقيقة
غرق مركبة,02:43,2023-09-07,Aswan,Edfu,24 دقيقة
تصادم سيارات,05:16,2022-12-22,Sohag,Girga,117 دقيقة
دهس مشاة,10:29,2022-06-14,Dakahlia,Dikirnis,184 دقيقة
دهس مشاة,08:02,2022-02-01,Beheira,Damanhour,35 دقيقة
تصادم سيارات,18:18,2024-01-06,Minya,Samalut,222 دقيقة
دهس مشاة,19:10,2023-11-17,Luxor,Luxor First,134 دقيقة
ازدحام مروري,08:09,2022-01-23,Monufia,Berket El Sabaa,16 دقيقة
تصادم سيارات,18:29,2024-01-01,Cairo,Zeitoun,214 دقيقة
حادث دراجة نارية,14:19,2023-04-11,Giza,Agouza,115 دقيقة
عطل فني,09:44,2023-05-20,Ismailia,Qantara Sharq,233 دقيقة
انقلاب مركبة,06:42,2022-09-12,Sharqia,Minya Al Qamh,56 دقيقة
تصادم سيارات,16:56,2024-01-10,Qalyubia,Shibin El Qanater,99 دقيقة
تصادم مع حيوان,20:10,2022-10-23,Qalyubia,Khanka,225 دقيقة
انقلاب مركبة,08:33,2023-04-15,Aswan,Edfu,69 دقيقة
ازدحام مروري,11:49,2023-01-17,Cairo,Gesr El Suez,235 دقيقة
سقوط من ارتفاع,08:45,2022-07-29,Cairo,Gesr El Suez,196 دقيقة
تصادم مع حيوان,08:16,2022-11-09,Luxor,Qurna,128 دقيقة
تصادم مع حيوان,12:19,2024-01-30,Assiut,Qusiya,63 دقيقة
انقلاب مركبة,15:46,2024-08-17,Qalyubia,Toukh,64 دقيقة
انقلاب مركبة,08:01,2024-09-09,Alexandria,Miami,147 دقيقة
تصادم سيارات,06:09,2024-06-20,Luxor,Armant,85 دقيقة
حادث دراجة نارية,17:16,2024-01-18,Cairo,Gesr El Suez,50 دقيقة
غرق مركبة,17:51,2023-07-03,Aswan,Aswan First,228 دقيقة
ازدحام مروري,18:39,2024-06-04,Alexandria,Glim,79 دقيقة
حادث دراجة نارية,08:24,2024-08-30,Ismailia,Qantara Sharq,116 دقيقة
حريق في السيارة,09:05,2022-10-28,Assiut,Abnoub,107 دقيقة
حادث دراجة نارية,01:09,2023-08-21,Luxor,Esna,165 دقيقة
انقلاب مركبة,19:51,2024-11-29,Giza,Faisal,74 دقيقة
دهس مشاة,08:02,2023-11-08,Port Said,Sharq,92 دقيقة
انقلاب مركبة,09:07,2023-10-23,Assiut,Abnoub,143 دقيقة
غرق مركبة,18:01,2024-05-06,Assiut,Manfalout,67 دقيقة
دهس مشاة,19:29,2023-11-30,Alexandria,Montazah,132 دقيقة
ازدحام مروري,18:10,2022-07-28,Assiut,Manfalout,34 دقيقة
عطل فني,18:43,2023-11-22,Alexandria,Smouha,54 دقيقة
عطل فني,07:22,2023-10-14,Luxor,Luxor First,169 دقيقة
تصادم سيارات,08:12,2024-12-07,Port Said,Arab,187 دقيقة
تصادم سيارات,00:08,2022-08-14,Beheira,Kafr El Dawar,101 دقيقة
سقوط من ارتفاع,18:52,2024-06-23,Giza,Agouza,171 دقيقة
ازدحام مروري,21:18,2024-03-27,Cairo,Zeitoun,11 دقيقة
غرق مركبة,07:35,2024-09-19,Assiut,Manfalout,127 دقيقة
سقوط من ارتفاع,19:11,2024-08-20,Minya,Mallawi,82 دقيقة
تصادم سيارات,13:01,2023-09-24,Sharqia,Bilbeis,82 دقيقة
حادث دراجة نارية,17:56,2023-07-03,Ismailia,Qantara Sharq,64 دقيقة
تصادم سيارات,04:18,2023-12-08,Luxor,Luxor First,83 دقيقة
سقوط من ارتفاع,10:18,2023-05-17,Luxor,Luxor First,94 دقيقة
ازدحام مروري,07:49,2023-12-07,Minya,Mallawi,53 دقيقة
انقلاب مركبة,17:14,2023-11-23,Beheira,Damanhour,153 دقيقة
حادث دراجة نارية,17:15,2024-08-07,Luxor,Esna,154 دقيقة
غرق مركبة,10:05,2022-02-15,Sohag,Sohag First,188 دقيقة
حريق في السيارة,07:43,2022-01-13,Minya,Mallawi,223 دقيقة
حادث دراجة نارية,17:49,2022-06-26,Cairo,Maadi,81 دقيقة
انقلاب مركبة,17:25,2023-08-19,Alexandria,Smouha,67 دقيقة
دهس مشاة,17:28,2022-07-04,Aswan,Kom Ombo,221 دقيقة
انقلاب مركبة,16:33,2022-04-21,Giza,Agouza,36 دقيقة
تصادم مع حيوان,16:34,2023-06-02,Aswan,Aswan First,160 دقيقة
تصادم مع حيوان,08:28,2022-06-19,Giza,Haram,33 دقيقة
حريق في السيارة,08:42,2023-05-01,Assiut,Abnoub,66 دقيقة
انقلاب مركبة,09:31,2022-10-12,Sharqia,Zagazig,191 دقيقة
انقلاب مركبة,07:57,2022-12-15,Sharqia,Faqus,166 دقيقة
تصادم سيارات,08:37,2022-01-08,Minya,Beni Mazar,235 دقيقة
انقلاب مركبة,16:27,2024-05-18,Sohag,Maragha,31 دقيقة
دهس مشاة,19:54,2023-12-01,Luxor,Luxor First,113 دقيقة
تصادم سيارات,04:55,2024-11-27,Luxor,Luxor First,103 دقيقة
تصادم سيارات,17:06,2023-08-01,Sohag,Akhmim,53 دقيقة
حادث دراجة نارية,01:32,2023-11-19,Minya,Maghaghah,237 دقيقة
ازدحام مروري,08:51,2024-03-16,Monufia,Bagour,136 دقيقة
تصادم سيارات,07:51,2022-01-24,Ismailia,Qantara Sharq,76 دقيقة
غرق مركبة,08:19,2023-06-20,Qalyubia,Khanka,40 دقيقة
غرق مركبة,08:31,2024-10-10,Luxor,Armant,28 دقيقة
تصادم مع حيوان,15:59,2024-09-23,Port Said,Arab,160 دقيقة
عطل فني,02:25,2023-03-19,Giza,Haram,124 دقيقة
تصادم سيارات,09:20,2023-12-24,Monufia,Bagour,17 دقيقة
عطل فني,16:35,2023-12-12,Alexandria,Glim,95 دقيقة
غرق مركبة,17:41,2022-02-12,Luxor,Armant,170 دقيقة
انقلاب مركبة,05:08,2023-02-15,Beheira,Edku,158 دقيقة
تصادم مع حيوان,07:33,2024-04-21,Alexandria,Smouha,220 دقيقة
سقوط من ارتفاع,18:37,2023-12-09,Luxor,Armant,220 دقيقة
عطل فني,19:18,2022-01-10,Ismailia,Qantara Sharq,50 دقيقة
حريق في السيارة,09:48,2024-02-12,Ismailia,Sheikh Zayed,109 دقيقة
غرق مركبة,17:09,2023-01-20,Assiut,Dayrout,110 دقيقة
سقوط من ارتفاع,18:29,2022-10-25,Sohag,Tahta,201 دقيقة
دهس مشاة,16:21,2023-03-17,Dakahlia,Dikirnis,104 دقيقة
تصادم مع حيوان,17:32,2022-01-11,Giza,Dokki,119 دقيقة
عطل فني,06:49,2024-10-28,Cairo,Shubra,195 دقيقة
غرق مركبة,18:12,2024-12-26,Beheira,Rashid,100 دقيقة
تصادم مع حيوان,08:34,2022-11-25,Giza,Faisal,154 دقيقة
سقوط من ارتفاع,16:48,2024-11-20,Port Said,Arab,112 دقيقة
غرق مركبة,07:42,2024-10-21,Sohag,Akhmim,16 دقيقة
تصادم مع حيوان,18:48,2022-06-01,Sharqia,Zagazig,15 دقيقة
تصادم سيارات,04:44,2024-09-16,Sohag,Akhmim,106 دقيقة
انقلاب مركبة,09:09,2023-06-29,Monufia,Shebin El Kom,123 دقيقة
ازدحام مروري,19:18,2023-11-10,Luxor,Luxor First,52 دقيقة
سقوط من ارتفاع,08:48,2022-12-25,Alexandria,Smouha,119 دقيقة
حادث دراجة نارية,16:20,2023-02-15,Minya,Mallawi,185 دقيقة
عطل فني,16:06,2024-11-07,Sharqia,Abu Kabir,23 دقيقة
حريق في السيارة,08:36,2024-08-18,Dakahlia,Mit Ghamr,150 دقيقة
غرق مركبة,04:24,2024-01-10,Sohag,Girga,117 دقيقة
انقلاب مركبة,16:59,2023-01-26,Cairo,Zeitoun,29 دقيقة
تصادم سيارات,17:08,2024-04-12,Beheira,Kafr El Dawar,138 دقيقة
سقوط من ارتفاع,09:10,2024-08-16,Minya,Maghaghah,172 دقيقة
حادث دراجة نارية,18:13,2024-09-27,Assiut,Dayrout,137 دقيقة
حريق في السيارة,03:52,2022-10-21,Beheira,Rashid,183 دقيقة
دهس مشاة,19:13,2022-10-18,Cairo,Gesr El Suez,164 دقيقة
حادث دراجة نارية,16:07,2023-06-12,Sohag,Sohag First,232 دقيقة
تصادم مع حيوان,14:20,2022-04-28,Luxor,Luxor First,155 دقيقة
تصادم مع حيوان,09:49,2024-06-21,Qalyubia,Toukh,138 دقيقة
تصادم مع حيوان,18:00,2023-07-24,Beheira,Damanhour,164 دقيقة
عطل فني,08:58,2023-03-08,Qalyubia,Khanka,198 دقيقة
ازدحام مروري,08:45,2022-07-11,Alexandria,Sidi Gaber,170 دقيقة
سقوط من ارتفاع,18:46,2022-10-15,Luxor,Qurna,177 دقيقة
عطل فني,08:44,2024-08-19,Alexandria,Montazah,39 دقيقة
تصادم سيارات,17:16,2024-12-14,Sharqia,Faqus,139 دقيقة
حريق في السيارة,00:04,2022-12-26,Alexandria,Sidi Gaber,108 دقيقة
تصادم سيارات,02:38,2024-09-29,Assiut,Qusiya,10 دقيقة
سقوط من ارتفاع,02:50,2022-07-22,Beheira,Edku,39 دقيقة
ازدحام مروري,16:22,2024-06-22,Alexandria,Glim,149 دقيقة
سقوط من ارتفاع,08:28,2024-04-28,Assiut,Abnoub,131 دقيقة
سقوط من ارتفاع,17:25,2023-12-31,Port Said,Dawahi,140 دقيقة
ازدحام مروري,16:23,2024-08-26,Giza,Agouza,182 دقيقة
تصادم مع حيوان,19:27,2023-11-16,Sharqia,Zagazig,232 دقيقة
حادث دراجة نارية,09:21,2022-10-11,Port Said,Sharq,16 دقيقة
انقلاب مركبة,09:32,2024-02-10,Dakahlia,Talkha,171 دقيقة
غرق مركبة,19:53,2024-04-27,Aswan,Nasr Nubia,230 دقيقة
تصادم سيارات,06:23,2024-09-12,Sharqia,Kafr Saqr,231 دقيقة
سقوط من ارتفاع,17:34,2023-11-20,Dakahlia,Mit Ghamr,191 دقيقة
دهس مشاة,16:17,2023-05-10,Port Said,Sharq,193 دقيقة
عطل فني,00:29,2024-06-05,Minya,Deir Mawas,86 دقيقة
تصادم مع حيوان,01:35,2024-03-21,Minya,Deir Mawas,142 دقيقة
دهس مشاة,07:43,2022-12-08,Minya,Deir Mawas,172 دقيقة
انقلاب مركبة,19:21,2023-07-24,Monufia,Quesna,33 دقيقة
تصادم سيارات,18:09,2022-11-24,Ismailia,Arbaeen,117 دقيقة
تصادم مع حيوان,09:08,2022-01-10,Cairo,Shubra,19 دقيقة
انقلاب مركبة,09:12,2024-01-05,Qalyubia,Khanka,227 دقيقة
عطل فني,07:31,2024-11-25,Sharqia,Abu Kabir,23 دقيقة
تصادم سيارات,08:45,2024-06-21,Port Said,Arab,238 دقيقة
تصادم سيارات,21:08,2023-02-06,Monufia,Quesna,42 دقيقة
غرق مركبة,18:19,2022-07-05,Port Said,Sharq,20 دقيقة
حريق في السيارة,21:59,2024-07-07,Assiut,Dayrout,67 دقيقة
تصادم سيارات,07:51,2023-04-07,Aswan,Aswan First,85 دقيقة
انقلاب مركبة,08:50,2024-09-12,Sohag,Girga,101 دقيقة
تصادم مع حيوان,08:49,2024-07-17,Giza,Haram,187 دقيقة
سقوط من ارتفاع,19:36,2024-11-28,Assiut,Manfalout,99 دقيقة
سقوط من ارتفاع,13:45,2023-05-26,Luxor,Qurna,56 دقيقة
تصادم مع حيوان,09:34,2024-08-08,Monufia,Bagour,137 دقيقة
تصادم مع حيوان,08:14,2023-02-28,Monufia,Bagour,235 دقيقة
سقوط من ارتفاع,18:07,2024-08-26,Dakahlia,Mansoura,205 دقيقة
حادث دراجة نارية,16:01,2023-11-18,Qalyubia,Shibin El Qanater,69 دقيقة
تصادم سيارات,18:13,2023-06-22,Luxor,Qurna,97 دقيقة
سقوط من ارتفاع,07:54,2022-05-03,Cairo,Shubra,127 دقيقة
انقلاب مركبة,07:33,2024-07-01,Aswan,Edfu,91 دقيقة
حادث دراجة نارية,08:01,2023-10-14,Giza,Agouza,66 دقيقة
سقوط من ارتفاع,19:03,2023-09-25,Beheira,Rashid,155 دقيقة
تصادم مع حيوان,16:14,2023-07-15,Aswan,Edfu,36 دقيقة
انقلاب مركبة,06:48,2024-08-17,Sohag,Girga,206 دقيقة
حادث دراجة نارية,09:29,2024-01-27,Qalyubia,Banha,87 دقيقة
سقوط من ارتفاع,18:18,2024-11-05,Cairo,Shubra,239 دقيقة
تصادم سيارات,15:27,2022-01-01,Sohag,Sohag First,123 دقيقة
غرق مركبة,09:15,2024-07-20,Aswan,Kom Ombo,130 دقيقة
غرق مركبة,18:01,2024-01-29,Sharqia,Faqus,220 دقيقة
غرق مركبة,17:45,2022-10-24,Sohag,Sohag First,113 دقيقة
تصادم سيارات,08:37,2022-07-14,Assiut,Manfalout,139 دقيقة
حادث دراجة نارية,21:07,2023-07-10,Qalyubia,Shibin El Qanater,236 دقيقة
دهس مشاة,23:32,2022-06-30,Sharqia,Bilbeis,131 دقيقة
انقلاب مركبة,17:51,2023-01-10,Luxor,Esna,69 دقيقة
حريق في السيارة,07:54,2024-05-06,Qalyubia,Toukh,214 دقيقة
غرق مركبة,07:01,2024-03-06,Giza,Imbaba,218 دقيقة
انقلاب مركبة,12:03,2023-11-14,Luxor,Qurna,103 دقيقة
غرق مركبة,08:06,2022-04-15,Dakahlia,Dikirnis,175 دقيقة
حادث دراجة نارية,08:10,2023-02-19,Sohag,Sohag First,228 دقيقة
دهس مشاة,10:38,2022-05-31,Dakahlia,Bilqas,26 دقيقة
دهس مشاة,08:27,2024-10-24,Dakahlia,Mit Ghamr,79 دقيقة
دهس مشاة,03:06,2024-06-29,Giza,Faisal,45 دقيقة
سقوط من ارتفاع,12:36,2023-05-28,Beheira,Abu Hummus,207 دقيقة
غرق مركبة,17:34,2024-07-16,Luxor,Qurna,65 دقيقة
تصادم مع حيوان,08:22,2022-10-22,Sharqia,Bilbeis,150 دقيقة
حادث دراجة نارية,07:13,2023-01-16,Ismailia,Qantara Sharq,105 دقيقة
تصادم سيارات,15:41,2022-03-17,Luxor,Esna,130 دقيقة
سقوط من ارتفاع,18:56,2024-12-19,Qalyubia,Khanka,170 دقيقة
انقلاب مركبة,01:27,2022-02-06,Sohag,Akhmim,108 دقيقة
تصادم مع حيوان,02:57,2023-10-05,Aswan,Kom Ombo,239 دقيقة
سقوط من ارتفاع,03:26,2024-01-25,Dakahlia,Dikirnis,18 دقيقة
ازدحام مروري,16:48,2024-07-30,Ismailia,Qantara Sharq,105 دقيقة
عطل فني,19:38,2023-07-29,Giza,Faisal,155 دقيقة
تصادم سيارات,16:34,2023-01-16,Cairo,Heliopolis,111 دقيقة
غرق مركبة,18:39,2023-10-01,Sharqia,Kafr Saqr,27 دقيقة
حادث دراجة نارية,18:33,2022-03-28,Minya,Samalut,221 دقيقة
حادث دراجة نارية,00:09,2022-07-10,Ismailia,Arbaeen,56 دقيقة
تصادم سيارات,18:40,2024-03-31,Alexandria,Montazah,33 دقيقة
ازدحام مروري,18:35,2022-07-27,Alexandria,Smouha,25 دقيقة
دهس مشاة,21:19,2024-05-02,Beheira,Edku,170 دقيقة
غرق مركبة,16:33,2022-06-21,Minya,Samalut,208 دقيقة
انقلاب مركبة,08:17,2022-08-29,Ismailia,Qantara Sharq,13 دقيقة
انقلاب مركبة,18:29,2023-08-18,Aswan,Kom Ombo,236 دقيقة
دهس مشاة,16:29,2023-11-14,Cairo,Gesr El Suez,165 دقيقة
تصادم سيارات,08:35,2024-10-08,Sharqia,Bilbeis,14 دقيقة
تصادم سيارات,19:12,2023-09-27,Giza,Imbaba,123 دقيقة
تصادم سيارات,08:14,2023-01-30,Qalyubia,Khanka,197 دقيقة
تصادم مع حيوان,01:28,2023-11-25,Minya,Samalut,153 دقيقة
عطل فني,18:40,2024-09-11,Port Said,Sharq,222 دقيقة
عطل فني,19:14,2022-05-19,Sharqia,Kafr Saqr,214 دقيقة
سقوط من ارتفاع,09:41,2023-09-18,Monufia,Quesna,96 دقيقة
دهس مشاة,09:39,2022-04-21,Alexandria,Roushdy,132 دقيقة
غرق مركبة,18:25,2022-01-04,Alexandria,Glim,18 دقيقة
ازدحام مروري,16:51,2023-07-11,Dakahlia,Mansoura,201 دقيقة
تصادم سيارات,17:29,2024-04-09,Monufia,Bagour,145 دقيقة
ازدحام مروري,13:26,2022-03-02,Ismailia,Arbaeen,123 دقيقة
سقوط من ارتفاع,07:27,2024-06-14,Giza,Imbaba,50 دقيقة
سقوط من ارتفاع,08:33,2023-11-24,Alexandria,Roushdy,199 دقيقة
غرق مركبة,18:09,2022-09-16,Dakahlia,Mit Ghamr,125 دقيقة
ازدحام مروري,16:28,2022-11-06,Aswan,Nasr Nubia,213 دقيقة
حريق في السيارة,06:50,2022-11-08,Sohag,Maragha,220 دقيقة
حادث دراجة نارية,00:38,2022-05-10,Monufia,Quesna,68 دقيقة
دهس مشاة,16:03,2022-01-15,Monufia,Bagour,72 دقيقة
دهس مشاة,09:36,2024-12-06,Dakahlia,Mit Ghamr,46 دقيقة
دهس مشاة,18:05,2023-09-02,Alexandria,Glim,90 دقيقة
غرق مركبة,09:21,2022-06-03,Aswan,Edfu,187 دقيقة
غرق مركبة,08:11,2023-05-23,Alexandria,Montazah,189 دقيقة
دهس مشاة,19:33,2024-05-16,Qalyubia,Shibin El Qanater,89 دقيقة
دهس مشاة,04:05,2024-06-13,Luxor,Luxor First,174 دقيقة
حريق في السيارة,08:15,2022-10-31,Giza,Imbaba,164 دقيقة
ازدحام مروري,07:20,2023-03-07,Aswan,Nasr Nubia,126 دقيقة
انقلاب مركبة,17:07,2022-08-16,Assiut,Dayrout,46 دقيقة
عطل فني,18:30,2022-08-08,Sharqia,Minya Al Qamh,84 دقيقة
دهس مشاة,08:19,2022-03-23,Monufia,Shebin El Kom,201 دقيقة
حادث دراجة نارية,08:48,2024-08-28,Luxor,Luxor First,166 دقيقة
انقلاب مركبة,17:51,2022-07-14,Beheira,Rashid,70 دقيقة
عطل فني,04:18,2023-11-26,Beheira,Abu Hummus,234 دقيقة
دهس مشاة,17:56,2023-07-18,Monufia,Quesna,170 دقيقة
غرق مركبة,23:59,2022-03-11,Port Said,Arab,28 دقيقة
ازدحام مروري,09:10,2024-10-18,Aswan,Kom Ombo,51 دقيقة
ازدحام مروري,05:13,2022-10-16,Alexandria,Sidi Gaber,141 دقيقة
سقوط من ارتفاع,16:42,2022-04-14,Sharqia,Zagazig,41 دقيقة
تصادم مع حيوان,16:49,2023-05-09,Port Said,Sharq,190 دقيقة
تصادم مع حيوان,06:30,2024-12-03,Beheira,Damanhour,184 دقيقة
غرق مركبة,09:42,2024-04-08,Port Said,Arab,104 دقيقة
دهس مشاة,21:28,2024-09-15,Monufia,Bagour,166 دقيقة
عطل فني,16:06,2024-04-04,Ismailia,Sheikh Zayed,121 دقيقة
سقوط من ارتفاع,19:58,2024-08-21,Aswan,Kom Ombo,99 دقيقة
تصادم مع حيوان,17:37,2022-07-29,Alexandria,Miami,94 دقيقة
حادث دراجة نارية,17:28,2024-09-12,Cairo,Heliopolis,210 دقيقة
عطل فني,17:04,2023-04-26,Ismailia,Arbaeen,91 دقيقة
عطل فني,08:53,2023-07-15,Sohag,Tahta,72 دقيقة
ازدحام مروري,04:49,2022-07-19,Assiut,Manfalout,150 دقيقة
تصادم مع حيوان,01:48,2024-10-27,Port Said,Sharq,134 دقيقة
عطل فني,13:43,2023-09-22,Luxor,Qurna,11 دقيقة
سقوط من ارتفاع,17:36,2023-04-06,Qalyubia,Toukh,80 دقيقة
حريق في السيارة,03:08,2023-10-20,Sohag,Akhmim,207 دقيقة
دهس مشاة,09:13,2022-06-11,Monufia,Shebin El Kom,234 دقيقة
انقلاب مركبة,17:49,2023-10-19,Assiut,Dayrout,19 دقيقة
تصادم مع حيوان,18:33,2022-04-15,Dakahlia,Bilqas,11 دقيقة
ازدحام مروري,05:05,2022-08-12,Qalyubia,Toukh,31 دقيقة
سقوط من ارتفاع,03:20,2024-05-19,Sohag,Sohag First,73 دقيقة
غرق مركبة,04:10,2022-06-23,Port Said,Manakh,22 دقيقة
عطل فني,17:22,2024-02-29,Sohag,Girga,14 دقيقة
حريق في السيارة,09:54,2022-07-25,Dakahlia,Talkha,144 دقيقة
غرق مركبة,08:09,2024-01-26,Cairo,Shubra,83 دقيقة
عطل فني,17:54,2024-04-20,Cairo,Heliopolis,112 دقيقة
حادث دراجة نارية,03:22,2024-03-30,Beheira,Edku,89 دقيقة
حريق في السيارة,02:54,2024-10-29,Monufia,Berket El Sabaa,208 دقيقة
دهس مشاة,13:30,2023-09-20,Sohag,Sohag First,21 دقيقة
تصادم مع حيوان,08:56,2022-11-03,Sohag,Sohag First,220 دقيقة
ازدحام مروري,19:52,2023-01-09,Aswan,Aswan First,94 دقيقة
انقلاب مركبة,07:06,2024-09-04,Ismailia,First District,23 دقيقة
حادث دراجة نارية,08:11,2023-02-25,Sharqia,Minya Al Qamh,17 دقيقة
غرق مركبة,16:54,2024-01-27,Port Said,Dawahi,188 دقيقة
تصادم مع حيوان,18:48,2022-06-24,Port Said,Arab,102 دقيقة
دهس مشاة,15:05,2024-05-31,Alexandria,Glim,76 دقيقة
حادث دراجة نارية,19:25,2023-04-01,Cairo,Nasr City,185 دقيقة
تصادم سيارات,06:58,2024-04-09,Assiut,Assiut First,151 دقيقة
تصادم سيارات,19:18,2024-07-03,Minya,Deir Mawas,48 دقيقة
حريق في السيارة,08:36,2024-10-29,Giza,Haram,115 دقيقة
حريق في السيارة,18:50,2023-08-08,Port Said,Dawahi,179 دقيقة
دهس مشاة,16:08,2024-03-09,Port Said,Manakh,127 دقيقة
عطل فني,17:31,2023-05-12,Port Said,Manakh,197 دقيقة
سقوط من ارتفاع,09:17,2023-06-06,Ismailia,Qantara Sharq,89 دقيقة
ازدحام مروري,16:53,2022-04-15,Giza,Imbaba,21 دقيقة
غرق مركبة,07:19,2023-01-22,Aswan,Edfu,113 دقيقة
تصادم مع حيوان,20:45,2023-01-08,Monufia,Berket El Sabaa,27 دقيقة
انقلاب مركبة,08:46,2023-11-27,Port Said,Sharq,67 دقيقة
انقلاب مركبة,13:12,2023-05-13,Luxor,Luxor First,34 دقيقة
سقوط من ارتفاع,05:12,2024-11-30,Cairo,Gesr El Suez,232 دقيقة
غرق مركبة,09:15,2024-05-30,Minya,Samalut,215 دقيقة
حريق في السيارة,16:48,2022-05-31,Sohag,Akhmim,81 دقيقة
غرق مركبة,16:47,2024-10-09,Minya,Beni Mazar,182 دقيقة
تصادم سيارات,08:18,2023-03-08,Sohag,Tahta,39 دقيقة
ازدحام مروري,07:02,2023-07-19,Assiut,Manfalout,13 دقيقة
انقلاب مركبة,19:20,2022-11-18,Qalyubia,Shibin El Qanater,80 دقيقة
غرق مركبة,18:53,2023-03-23,Dakahlia,Mit Ghamr,24 دقيقة
دهس مشاة,07:12,2022-08-11,Sohag,Akhmim,179 دقيقة
تصادم مع حيوان,22:37,2023-10-09,Assiut,Abnoub,69 دقيقة
دهس مشاة,07:05,2023-06-21,Alexandria,Glim,117 دقيقة
عطل فني,16:29,2024-11-28,Monufia,Bagour,43 دقيقة
عطل فني,12:19,2022-06-22,Port Said,Arab,73 دقيقة
حادث دراجة نارية,01:50,2023-11-24,Monufia,Berket El Sabaa,26 دقيقة
حادث دراجة نارية,16:54,2023-01-05,Port Said,Manakh,224 دقيقة
دهس مشاة,19:52,2024-05-07,Minya,Samalut,147 دقيقة
عطل فني,16:54,2023-01-01,Ismailia,Arbaeen,45 دقيقة
تصادم مع حيوان,10:10,2023-11-03,Luxor,Armant,167 دقيقة
غرق مركبة,17:27,2024-04-17,Assiut,Manfalout,95 دقيقة
حادث دراجة نارية,17:01,2024-01-27,Sohag,Tahta,17 دقيقة
غرق مركبة,19:17,2024-06-24,Giza,Dokki,85 دقيقة
عطل فني,07:32,2023-07-23,Assiut,Qusiya,216 دقيقة
غرق مركبة,19:34,2023-06-29,Qalyubia,Shibin El Qanater,40 دقيقة
حادث دراجة نارية,22:08,2024-10-11,Giza,Agouza,202 دقيقة
حريق في السيارة,16:32,2024-02-03,Cairo,Nasr City,222 دقيقة
دهس مشاة,17:02,2023-06-13,Beheira,Edku,47 دقيقة
ازدحام مروري,11:49,2024-12-27,Sohag,Girga,183 دقيقة
عطل فني,12:38,2022-12-27,Ismailia,Arbaeen,131 دقيقة
حريق في السيارة,18:07,2023-05-17,Aswan,Aswan First,24 دقيقة
تصادم مع حيوان,04:58,2022-10-20,Dakahlia,Mit Ghamr,122 دقيقة
غرق مركبة,18:11,2024-07-26,Luxor,Luxor First,34 دقيقة
ازدحام مروري,10:26,2024-05-22,Qalyubia,Toukh,12 دقيقة
حريق في السيارة,16:07,2022-08-12,Minya,Mallawi,29 دقيقة
غرق مركبة,09:51,2023-07-29,Minya,Mallawi,107 دقيقة
غرق مركبة,04:46,2024-02-21,Monufia,Quesna,67 دقيقة
حريق في السيارة,00:00,2024-09-16,Qalyubia,Toukh,151 دقيقة
حريق في السيارة,17:06,2022-07-29,Beheira,Rashid,191 دقيقة
حادث دراجة نارية,16:53,2022-07-30,Beheira,Edku,117 دقيقة
ازدحام مروري,18:52,2024-07-28,Monufia,Menouf,176 دقيقة
دهس مشاة,03:36,2022-01-21,Cairo,Zeitoun,162 دقيقة
انقلاب مركبة,09:18,2023-02-15,Sohag,Sohag First,160 دقيقة
حادث دراجة نارية,18:24,2023-02-27,Alexandria,Miami,127 دقيقة
حادث دراجة نارية,16:50,2023-07-26,Sharqia,Zagazig,116 دقيقة
انقلاب مركبة,12:40,2023-02-01,Minya,Maghaghah,80 دقيقة
انقلاب مركبة,12:11,2024-08-22,Port Said,Dawahi,98 دقيقة
تصادم سيارات,19:35,2023-03-06,Beheira,Edku,105 دقيقة
حريق في السيارة,09:49,2024-04-03,Giza,Imbaba,85 دقيقة
حريق في السيارة,18:48,2023-07-13,Cairo,Nasr City,78 دقيقة
